Size,Pressure Class,Bonnet,Yokeboss,Actuator,Name
NPS 1 1/2,PN16-40,Ext 1,3  9/16,50i,FCVCAD000253
NPS 1 1/2,PN16-40,Ext 1,3  9/16,60i,FCVCAD000254
NPS 1 1/2,PN16-40,Ext 1,3  9/16,70i,FCVCAD000255
NPS 1 1/2,PN16-40,Ext 1,3  9/16,76i,FCVCAD000256
NPS 1 1/2,PN63-100,Plain,2 1/8,30i,FCVCAD000257
NPS 1 1/2,PN63-100,Plain,2 1/8,34i,FCVCAD000258
NPS 1 1/2,PN63-100,Ext 1,2 1/8,30i,FCVCAD000259
NPS 1 1/2,PN63-100,Ext 1,2 1/8,34i,FCVCAD000260
NPS 1 1/2,PN63-100,Plain,2 13/16,40i,FCVCAD000261
NPS 1 1/2,PN63-100,Plain,2 13/16,45i,FCVCAD000262
NPS 1 1/2,PN63-100,Plain,2 13/16,46i,FCVCAD000263
NPS 1 1/2,PN63-100,Ext 1,2 13/16,40i,FCVCAD000264
NPS 1 1/2,PN63-100,Ext 1,2 13/16,45i,FCVCAD000265
NPS 1 1/2,PN63-100,Ext 1,2 13/16,46i,FCVCAD000266
NPS 1 1/2,PN63-100,Plain,3  9/16,50i,FCVCAD000267
NPS 1 1/2,PN63-100,Plain,3  9/16,60i,FCVCAD000268
NPS 1 1/2,PN63-100,Plain,3  9/16,70i,FCVCAD000269
NPS 1 1/2,PN63-100,Plain,3  9/16,76i,FCVCAD000270
NPS 1 1/2,PN63-100,Ext 1,3  9/16,50i,FCVCAD000271
NPS 1 1/2,PN63-100,Ext 1,3  9/16,60i,FCVCAD000272
NPS 1 1/2,PN63-100,Ext 1,3  9/16,70i,FCVCAD000273
NPS 1 1/2,PN63-100,Ext 1,3  9/16,76i,FCVCAD000274
NPS 2,CL150 RF,Plain,2 13/16,40i,FCVCAD000275
NPS 2,CL150 RF,Plain,2 13/16,45i,FCVCAD000276
NPS 2,CL150 RF,Plain,2 13/16,46i,FCVCAD000277
NPS 2,CL150 RF,Ext 1,2 13/16,40i,FCVCAD000278
NPS 2,CL150 RF,Ext 1,2 13/16,45i,FCVCAD000279
NPS 2,CL150 RF,Ext 1,2 13/16,46i,FCVCAD000280
NPS 2,CL150 RF,Plain,3  9/16,50i,FCVCAD000281
NPS 2,CL150 RF,Plain,3  9/16,60i,FCVCAD000282
NPS 2,CL150 RF,Plain,3  9/16,70i,FCVCAD000283
NPS 2,CL150 RF,Plain,3  9/16,76i,FCVCAD000284
NPS 2,CL150 RF,Ext 1,3  9/16,50i,FCVCAD000285
NPS 2,CL150 RF,Ext 1,3  9/16,60i,FCVCAD000286
NPS 2,CL150 RF,Ext 1,3  9/16,70i,FCVCAD000287
NPS 2,CL150 RF,Ext 1,3  9/16,76i,FCVCAD000288
NPS 2,CL150 RF,Plain,5,80,FCVCAD000289
NPS 2,CL150 RF,Plain,5,87,FCVCAD000290
NPS 2,CL150 RTJ,Plain,2 13/16,40i,FCVCAD000291
NPS 2,CL150 RTJ,Plain,2 13/16,45i,FCVCAD000292
NPS 2,CL150 RTJ,Plain,2 13/16,46i,FCVCAD000293
NPS 2,CL150 RTJ,Ext 1,2 13/16,40i,FCVCAD000294
NPS 2,CL150 RTJ,Ext 1,2 13/16,45i,FCVCAD000295
NPS 2,CL150 RTJ,Ext 1,2 13/16,46i,FCVCAD000296
NPS 2,CL150 RTJ,Plain,3  9/16,50i,FCVCAD000297
NPS 2,CL150 RTJ,Plain,3  9/16,60i,FCVCAD000298
NPS 2,CL150 RTJ,Plain,3  9/16,70i,FCVCAD000299
NPS 2,CL150 RTJ,Plain,3  9/16,76i,FCVCAD000300
NPS 2,CL150 RTJ,Ext 1,3  9/16,50i,FCVCAD000301
NPS 2,CL150 RTJ,Ext 1,3  9/16,60i,FCVCAD000302
NPS 2,CL150 RTJ,Ext 1,3  9/16,70i,FCVCAD000303
NPS 2,CL150 RTJ,Ext 1,3  9/16,76i,FCVCAD000304
NPS 2,CL150 RTJ,Plain,5,80,FCVCAD000305
NPS 2,CL150 RTJ,Plain,5,87,FCVCAD000306
NPS 2,CL300 RF,Plain,2 13/16,40i,FCVCAD000307
NPS 2,CL300 RF,Plain,2 13/16,45i,FCVCAD000308
NPS 2,CL300 RF,Plain,2 13/16,46i,FCVCAD000309
NPS 2,CL300 RF,Ext 1,2 13/16,40i,FCVCAD000310
NPS 2,CL300 RF,Ext 1,2 13/16,45i,FCVCAD000311
NPS 2,CL300 RF,Ext 1,2 13/16,46i,FCVCAD000312
NPS 2,CL300 RF,Plain,3  9/16,50i,FCVCAD000313
NPS 2,CL300 RF,Plain,3  9/16,60i,FCVCAD000314
NPS 2,CL300 RF,Plain,3  9/16,70i,FCVCAD000315
NPS 2,CL300 RF,Plain,3  9/16,76i,FCVCAD000316
NPS 2,CL300 RF,Ext 1,3  9/16,50i,FCVCAD000317
NPS 2,CL300 RF,Ext 1,3  9/16,60i,FCVCAD000318
NPS 2,CL300 RF,Ext 1,3  9/16,70i,FCVCAD000319
NPS 2,CL300 RF,Ext 1,3  9/16,76i,FCVCAD000320
NPS 2,CL300 RF,Plain,5,80,FCVCAD000321
NPS 2,CL300 RF,Plain,5,87,FCVCAD000322
NPS 2,CL300 RTJ,Plain,2 13/16,40i,FCVCAD000323
NPS 2,CL300 RTJ,Plain,2 13/16,45i,FCVCAD000324
NPS 2,CL300 RTJ,Plain,2 13/16,46i,FCVCAD000325
NPS 2,CL300 RTJ,Ext 1,2 13/16,40i,FCVCAD000326
NPS 2,CL300 RTJ,Ext 1,2 13/16,45i,FCVCAD000327
NPS 2,CL300 RTJ,Ext 1,2 13/16,46i,FCVCAD000328
NPS 2,CL300 RTJ,Plain,3  9/16,50i,FCVCAD000329
NPS 2,CL300 RTJ,Plain,3  9/16,60i,FCVCAD000330
NPS 2,CL300 RTJ,Plain,3  9/16,70i,FCVCAD000331
NPS 2,CL300 RTJ,Plain,3  9/16,76i,FCVCAD000332
NPS 2,CL300 RTJ,Ext 1,3  9/16,50i,FCVCAD000333
NPS 2,CL300 RTJ,Ext 1,3  9/16,60i,FCVCAD000334
NPS 2,CL300 RTJ,Ext 1,3  9/16,70i,FCVCAD000335
NPS 2,CL300 RTJ,Ext 1,3  9/16,76i,FCVCAD000336
NPS 2,CL300 RTJ,Plain,5,80,FCVCAD000337
NPS 2,CL300 RTJ,Plain,5,87,FCVCAD000338
NPS 2,CL600 RF,Plain,2 13/16,40i,FCVCAD000339
NPS 2,CL600 RF,Plain,2 13/16,45i,FCVCAD000340
NPS 2,CL600 RF,Plain,2 13/16,46i,FCVCAD000341
NPS 2,CL600 RF,Ext 1,2 13/16,40i,FCVCAD000342
NPS 2,CL600 RF,Ext 1,2 13/16,45i,FCVCAD000343
NPS 2,CL600 RF,Ext 1,2 13/16,46i,FCVCAD000344
NPS 2,CL600 RF,Plain,3  9/16,50i,FCVCAD000345
NPS 2,CL600 RF,Plain,3  9/16,60i,FCVCAD000346
NPS 2,CL600 RF,Plain,3  9/16,70i,FCVCAD000347
NPS 2,CL600 RF,Plain,3  9/16,76i,FCVCAD000348
NPS 2,CL600 RF,Ext 1,3  9/16,50i,FCVCAD000349
NPS 2,CL600 RF,Ext 1,3  9/16,60i,FCVCAD000350
NPS 2,CL600 RF,Ext 1,3  9/16,70i,FCVCAD000351
NPS 2,CL600 RF,Ext 1,3  9/16,76i,FCVCAD000352
NPS 2,CL600 RF,Plain,5,80,FCVCAD000353
NPS 2,CL600 RF,Plain,5,87,FCVCAD000354
NPS 2,CL600 RTJ,Plain,2 13/16,40i,FCVCAD000355
NPS 2,CL600 RTJ,Plain,2 13/16,45i,FCVCAD000356
NPS 2,CL600 RTJ,Plain,2 13/16,46i,FCVCAD000357
NPS 2,CL600 RTJ,Ext 1,2 13/16,40i,FCVCAD000358
NPS 2,CL600 RTJ,Ext 1,2 13/16,45i,FCVCAD000359
NPS 2,CL600 RTJ,Ext 1,2 13/16,46i,FCVCAD000360
NPS 2,CL600 RTJ,Plain,3  9/16,50i,FCVCAD000361
NPS 2,CL600 RTJ,Plain,3  9/16,60i,FCVCAD000362
NPS 2,CL600 RTJ,Plain,3  9/16,70i,FCVCAD000363
NPS 2,CL600 RTJ,Plain,3  9/16,76i,FCVCAD000364
NPS 2,CL600 RTJ,Ext 1,3  9/16,50i,FCVCAD000365
